path,width,height,mode,alpha_expected
assets/ui_assets/screens/social/friend_icon.png,128,128,RGBA,True
assets/ui_assets/screens/social/leaderboard_panel.png,440,190,RGBA,True
assets/ui_assets/screens/social/player_avatar_frame.png,440,190,RGBA,True
assets/ui_assets/screens/social/rank_badge_1.png,128,128,RGBA,True
assets/ui_assets/screens/social/rank_badge_2.png,128,128,RGBA,True
assets/ui_assets/screens/social/rank_badge_3.png,128,128,RGBA,True
assets/ui_assets/screens/social/share_icon.png,128,128,RGBA,True
assets/ui_assets/screens/splash/loading_bar_fill.png,420,54,RGBA,True
assets/ui_assets/screens/splash/loading_bar_frame.png,440,190,RGBA,True
assets/ui_assets/screens/splash/loading_cocktail_icon.png,128,128,RGBA,True
assets/ui_assets/screens/splash/loading_spinner.png,128,128,RGBA,True
assets/ui_assets/screens/splash/loading_tip_panel.png,440,190,RGBA,True
assets/ui_assets/screens/splash/splash_background.png,720,1280,RGBA,True
assets/ui_assets/screens/tutorial/tutorial_arrow.png,128,128,RGBA,True
assets/ui_assets/screens/tutorial/tutorial_hand.png,220,160,RGBA,True
assets/ui_assets/screens/tutorial/tutorial_highlight_ring.png,220,160,RGBA,True
assets/ui_assets/screens/tutorial/tutorial_merge_icon.png,128,128,RGBA,True
assets/ui_assets/screens/tutorial/tutorial_order_icon.png,128,128,RGBA,True
assets/ui_assets/screens/tutorial/tutorial_panel.png,440,190,RGBA,True
assets/ui_assets/screens/tutorial/tutorial_skip_button.png,360,104,RGBA,True
assets/ui_assets/screens/tutorial/tutorial_timer_icon.png,128,128,RGBA,True
assets/ui_assets/screens/tutorial/tutorial_vip_badge.png,128,128,RGBA,True
assets/ui_assets/source/style_reference_board.png,1774,887,RGB,False
assets/ui_assets/source/style_reference_board_remediation_v01.png,1536,1024,RGB,False
assets/ui_assets/tables/table_edge_overlay_master.png,720,1280,RGBA,True
assets/ui_assets/tables/table_silhouette_mask.png,720,1280,RGBA,True
assets/ui_assets/ui/boosters/booster_count_badge.png,128,128,RGBA,True
assets/ui_assets/ui/boosters/booster_hammer.png,220,160,RGBA,True
assets/ui_assets/ui/boosters/booster_locked.png,220,160,RGBA,True
assets/ui_assets/ui/boosters/booster_selected.png,220,160,RGBA,True
assets/ui_assets/ui/boosters/booster_shuffle.png,220,160,RGBA,True
assets/ui_assets/ui/boosters/booster_slot.png,440,190,RGBA,True
assets/ui_assets/ui/boosters/booster_time.png,220,160,RGBA,True
assets/ui_assets/ui/boosters/booster_upgrade.png,220,160,RGBA,True
assets/ui_assets/ui/gameplay/level_label_panel.png,440,190,RGBA,True
assets/ui_assets/ui/gameplay/pause_button.png,360,104,RGBA,True
assets/ui_assets/ui/gameplay/timer_icon.png,128,128,RGBA,True
assets/ui_assets/ui/gameplay/timer_panel.png,440,190,RGBA,True
assets/ui_assets/ui/gameplay/timer_warning_glow.png,220,160,RGBA,True
assets/ui_assets/ui/gameplay/vip_badge.png,128,128,RGBA,True
assets/ui_assets/ui/gameplay/vip_reward_frame.png,440,190,RGBA,True
assets/ui_assets/ui/global/back_arrow.png,128,128,RGBA,True
assets/ui_assets/ui/global/button_danger.png,360,104,RGBA,True
assets/ui_assets/ui/global/button_disabled.png,360,104,RGBA,True
assets/ui_assets/ui/global/button_icon_round.png,128,128,RGBA,True
assets/ui_assets/ui/global/button_locked.png,360,104,RGBA,True
assets/ui_assets/ui/global/button_primary.png,360,104,RGBA,True
assets/ui_assets/ui/global/button_secondary.png,360,104,RGBA,True
assets/ui_assets/ui/global/button_small.png,360,104,RGBA,True
assets/ui_assets/ui/global/check_icon.png,128,128,RGBA,True
assets/ui_assets/ui/global/close_x.png,220,160,RGBA,True
assets/ui_assets/ui/global/complete_badge.png,128,128,RGBA,True
assets/ui_assets/ui/global/current_badge.png,128,128,RGBA,True
assets/ui_assets/ui/global/daily_ready_badge.png,128,128,RGBA,True
assets/ui_assets/ui/global/divider_gold.png,520,36,RGBA,True
assets/ui_assets/ui/global/finale_badge.png,128,128,RGBA,True
assets/ui_assets/ui/global/help_icon.png,128,128,RGBA,True
assets/ui_assets/ui/global/home_icon.png,128,128,RGBA,True
assets/ui_assets/ui/global/info_icon.png,128,128,RGBA,True
assets/ui_assets/ui/global/lock_icon.png,128,128,RGBA,True
assets/ui_assets/ui/global/map_icon.png,128,128,RGBA,True
assets/ui_assets/ui/global/milestone_badge.png,128,128,RGBA,True
assets/ui_assets/ui/global/new_badge.png,128,128,RGBA,True
assets/ui_assets/ui/global/new_content_badge.png,128,128,RGBA,True
assets/ui_assets/ui/global/next_arrow.png,128,128,RGBA,True
assets/ui_assets/ui/global/notification_dot.png,128,128,RGBA,True
assets/ui_assets/ui/global/panel_generic_large.png,440,190,RGBA,True
assets/ui_assets/ui/global/panel_generic_medium.png,440,190,RGBA,True
assets/ui_assets/ui/global/panel_generic_small.png,440,190,RGBA,True
